City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bartica,GY,79.12,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
1,Half Moon Bay,US,78.58,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
2,Langsa,ID,78.44,scattered clouds,4.4683,97.9683,OYO 3328 Hotel Mori
5,Victoria,HK,85.24,overcast clouds,22.2855,114.1577,Mini Central
6,Hilo,US,88.29,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
9,Katherine,AU,84.52,clear sky,-14.4667,132.2667,Pine Tree Motel
11,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
18,Kapaa,US,84.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
24,Lorengau,PG,82.62,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
28,Wakkanai,JP,78.78,few clouds,45.4094,141.6739,Hyōsetsu-sō
34,Oliver,CA,79.05,scattered clouds,49.1831,-119.5524,Cactus Tree Inn
37,Atuona,PF,77.29,clear sky,-9.8,-139.0333,Villa Enata
40,Saint George,US,86.59,few clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
44,Georgetown,MY,85.93,haze,5.4112,100.3354,Cititel Penang
45,Sur,OM,89.85,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
48,Namatanai,PG,83.37,light rain,-3.6667,152.4333,Seagulls Inn Namatani
52,Saint Anthony,US,78.93,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
53,Sabancuy,MX,78.98,overcast clouds,18.9667,-91.1833,pulpo
56,Lod,IL,78.42,few clouds,31.9514,34.8953,Bobi's home
59,Kirakira,SB,82.74,broken clouds,-10.4544,161.9205,SanBiz Lodge
65,Bubaque,GW,80.33,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
68,Iberia,US,82.47,clear sky,29.9502,-91.7507,back to back rv park
72,Nauta,PE,76.14,overcast clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
74,Kahului,US,89.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
76,Meulaboh,ID,79.95,overcast clouds,4.1363,96.1285,Kost Pria
77,Turan,VN,80.58,broken clouds,16.0678,108.2208,Grand Mercure Danang
81,Erenhot,CN,83.64,clear sky,43.6475,111.9767,Erenhot Rurouni Youth Hostel
