City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bartica,GY,6.4,-58.6167,79.12,96,98,3.44,overcast clouds
1,Half Moon Bay,US,37.4636,-122.4286,78.58,71,0,17.27,clear sky
2,Langsa,ID,4.4683,97.9683,78.44,84,43,1.43,scattered clouds
3,Saskylakh,RU,71.9167,114.0833,54.07,92,100,5.26,light rain
4,Cape Town,ZA,-33.9258,18.4232,57.11,91,75,16.11,light rain
5,Victoria,HK,22.2855,114.1577,85.24,83,100,18.99,overcast clouds
6,Hilo,US,19.7297,-155.09,88.29,82,75,9.22,broken clouds
7,Maragogi,BR,-9.0122,-35.2225,73.47,80,3,5.37,clear sky
8,Poum,NC,-20.2333,164.0167,70.86,64,17,23.2,few clouds
9,Katherine,AU,-14.4667,132.2667,84.52,24,0,9.22,clear sky
10,Albany,US,42.6001,-73.9662,72.39,76,16,5.77,few clouds
11,Bathsheba,BB,13.2167,-59.5167,83.01,83,40,16.11,scattered clouds
12,Ushuaia,AR,-54.8,-68.3,42.46,61,40,2.3,scattered clouds
13,Skjervoy,NO,70.0311,20.9714,48.2,83,74,8.68,broken clouds
14,Punta Arenas,CL,-53.15,-70.9167,41.11,87,75,2.3,broken clouds
15,Vila,PT,42.0304,-8.1588,65.7,66,0,2.93,clear sky
16,Busselton,AU,-33.65,115.3333,53.15,74,100,7.14,overcast clouds
17,Rikitea,PF,-23.1203,-134.9692,73.94,80,100,16.71,overcast clouds
18,Kapaa,US,22.0752,-159.319,84.18,81,100,13.8,light rain
19,Gwanda,ZW,-20.9333,29.0,53.55,82,0,5.48,clear sky
20,Pevek,RU,69.7008,170.3133,42.53,98,100,7.78,moderate rain
21,Nikolskoye,RU,59.7035,30.7861,56.8,82,58,0.72,broken clouds
22,Fortuna,US,40.5982,-124.1573,70.93,67,100,12.66,overcast clouds
23,Ribeira Grande,PT,38.5167,-28.7,73.72,76,12,1.05,few clouds
24,Lorengau,PG,-2.0226,147.2712,82.62,77,51,7.0,broken clouds
25,Jamestown,US,42.097,-79.2353,65.79,70,0,0.0,clear sky
26,Arraial Do Cabo,BR,-22.9661,-42.0278,70.11,92,100,15.3,light rain
27,Hermanus,ZA,-34.4187,19.2345,49.8,76,70,12.66,broken clouds
28,Wakkanai,JP,45.4094,141.6739,78.78,53,20,17.27,few clouds
29,Yellowknife,CA,62.456,-114.3525,66.72,52,75,17.27,broken clouds
30,Port Elizabeth,ZA,-33.918,25.5701,59.31,87,0,17.27,clear sky
31,Mataura,NZ,-46.1927,168.8643,46.47,67,100,3.8,overcast clouds
